ID,Contributor,Language_ID,Language_Name,BibTexKey,Filename,MetadataComments,PhoibleID,Dialect
291,Ezequiel Koile,wich1264,Wichí Lhamtés Güisnay (Misón La Paz dialect),1984_Avram2008,1984_Avram2008.pdf,,1984,
294,Pavel Duryagin,basq1248,Goizueta Basque,hualde2010goizuetabasque,,,,
295,Dasha Bikina,huam1247,Huambisa,pena2015huambisa,http://linguistics.berkeley.edu/~saphon/en/inv/Huambisa.html,,1948,
297,Ruslan Idrisov,moks1248,Moksha,bondarko1993mordvin,,,,
298,Ruslan Idrisov,erzy1239,Erzya,bondarko1993mordvin,,,,
299,Polina Pleshak,awac1239,Awa-Cuaiquer,curnow1997awapit,,,,
300,Vasilisa Zhigulskaya,tami1289,Tamil,keane2004tamil,,,,
301,Eitan Grossman,belh1239,Belhare,bickel2003belhare,,,,
302,Eitan Grossman,bond1245,Bondo (Remo),fernandez1968remo,,,,
303,Eitan Grossman,czec1258,Czech,dankovicova1997czech,,,,
304,Eitan Grossman,chra1242,Chrau,thomas1971chrau,,,,
305,Eitan Grossman,stan1290,French,Sten1963,fra_SPA1979_phon.pdf,,162,
306,Eitan Grossman,friu1240,Friulian,miotti2002friulian,,,,
307,Eitan Grossman,guja1253,Gujari (Gojri),losey2002gujari,,,,
308,Vanya Levin,mose1249,Mosetén,sakel2004moseten,,,,
309,Daniel Wilson,iron1242,Ossetian,hettich2002ossetian,hettich2002ossetian.pdf,Assigned Iron Ossetian based on Glottolog,,
310,Nikita Kuzin,nort3142,Baghdad Arabic (Christian),abuhaidar1991baghdadchristianarabic,,,,
311,Polina Pleshak,ukaa1243,Ukaan,abiodun1999ukaan,,,,
312,Vanya Levin,tuvi1240,Tuvan,harrison2000tuvan,,,,
313,Aigul Zakirova,nene1249,Tundra Nenets,nikolaeva2014tundranenets,,,,
314,Pavel Duryagin,russ1263,Russian,galinskaya2009russian,,,,
315,Ezequiel Koile,moco1246,Mocoví,grondona1998mocovi,,,,
316,Vanya Levin,kute1248,Kuteb,koops1990kuteb,,,,
317,Anna Sorokina,halh1238,Halh Mongolian,svantesson2005mongolian,,,,
318,Dmitry Nikolaev,caml1239,Camling,ebert1997,,,,
319,Dmitry Nikolaev,galo1242,Galo,post2007galo,,,,
320,Elad Eisen,chop1243,Copi,gowlett2003copi,xho_Gowlett2003.pdf,,1318,copi1238
321,Elad Eisen,idom1241,Idoma,1536_idu,idu_Blench2010.pdf,,1536,
322,Elad Eisen,nucl1440,Masalit,1565_mls,mls_Edgar1989.pdf,,1565,
323,Elad Eisen,nubi1253,Nubi,kcn_wellens2003,kcn_wellens2003_phon.pdf,,967,
324,Elad Eisen,wage1238,Wageman/Wagiman,cook1987wagiman,,Data from Erich Round,,
325,Elad Eisen,midd1357,Waalubal,crowley1978bandjalang,,Data from Erich Round,,waal1238
326,Elad Eisen,umbu1235,Umbugarla,davies1989umbugarla,,Data from Erich Round,,
327,Elad Eisen,badi1246,Badimaya,dunn1988badimaya,,Data from Erich Round,,
328,Elad Eisen,gunw1252,Kune,evans2003bininjgunwok,,Data from Erich Round,,gune1238
329,Elad Eisen,wand1263,Wandarang/Warndarang,heath1980warndarang,,Data from Erich Round,,
330,Elad Eisen,madh1244,Madhimadhi,hercus1986madhimadhi,,Data from Erich Round,,
331,Elad Eisen,djam1255,Jaminjung,schultzeberndt2000jaminjung,,Data from Erich Round,,jami1236
332,Elad Eisen,iwai1244,Iwaidja,teo2007iwaidjanmaung,,Data from Erich Round,,
333,Elad Eisen,anin1240,Enindhilyakwa/Anindilyakwa,vanegmond2012enindhilyakwa,,Data from Erich Round,,
334,Elad Eisen,murr1258,Murrinhpatha,mansfield2014murrinhpatha,,Data from Erich Round,,murr1259
335,Elad Eisen,djin1253,Djinang,waters1988djinang,,Data from Erich Round,,
336,Elad Eisen,arab1267,Arabana,hercus1994arabana,,Data from Erich Round,,
337,Elad Eisen,umpi1239,Umpila,ogrady1988umpila,,Data from Erich Round,,
