ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,status,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
boto1242,Botolan Sambal,Papunesia,15.2315,120.164,boto1242,sbl,aust1307,abel1234,False,language,safe,,,0,0,2,PH
braz1246,Brazilian Portuguese,Eurasia,,,braz1246,,indo1319,port1283,False,dialect,safe,,,0,0,0,
bret1244,Breton,Eurasia,48.2452,-3.78934,bret1244,bre,indo1319,sout3176,False,language,safe,,,0,0,4,FR
bugh1239,Bughotu,Papunesia,-8.47948,159.802,bugh1239,bgt,aust1307,ngge1240,False,language,safe,,,0,0,2,SB
bugi1244,Buginese,Papunesia,-4.47,119.977,bugi1244,bug,aust1307,bugi1245,False,language,safe,,,0,0,11,ID
bulg1262,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul,indo1319,mace1252,False,language,definitely endangered,,,0,0,2,BG GR MD MK RO RS TR UA
buli1255,Buli (Indonesia),Papunesia,1.0008,128.443,buli1255,bzq,aust1307,cent2270,False,language,safe,,,0,0,2,ID
buna1278,Bunak,Papunesia,-9.13618,125.216,buna1278,bfn,timo1261,east2519,False,language,vulnerable,,,0,0,0,ID TL
bunu1267,Bunun,Papunesia,23.4116,121.025,bunu1267,bnn,aust1307,aust1307,False,language,vulnerable,,,0,0,7,TW
buru1296,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,,,False,language,definitely endangered,,,0,0,3,IN PK
buru1303,Buru (Indonesia),Papunesia,-3.43957,126.632,buru1303,mhs,aust1307,buru1322,False,language,safe,,,0,0,4,ID
cabi1241,Cabiyarí,South America,0.16101,-71.0622,cabi1241,cbb,araw1281,nucl1764,False,language,definitely endangered,,,0,0,0,CO
cahu1264,Cahuilla,North America,33.5324,-116.691,cahu1264,chl,utoa1244,cahu1263,False,language,critically endangered,,,0,0,0,US
caml1239,Camling,Eurasia,27.3371,86.7612,caml1239,rab,sino1245,sout2736,False,language,vulnerable,,,0,0,0,NP
cavi1250,Cavineña,South America,-13.3544,-66.6277,cavi1250,cav,pano1259,taca1255,False,language,definitely endangered,,,0,0,0,BO
cebu1242,Cebuano,Papunesia,8.38799,124.367,cebu1242,ceb,aust1307,bisa1268,False,language,safe,,,0,0,4,PH
cent2050,Central Kanuri,Africa,11.8863,16.3918,cent2050,knc,saha1256,kanu1281,False,language,safe,,,0,0,14,CM NE NG SD TD
cent2087,Coastal-Naga Bikol,Papunesia,13.7574,123.403,cent2087,bcl,aust1307,coas1315,False,language,safe,,,0,0,2,PH
