ID,Name,Description
D47E305230AF5B8AD808EC71E2E40B0A,l̥,LATIN SMALL LETTER L - COMBINING RING BELOW
F55CF3619FAF770147652F0FDB9F146F,ɑ,LATIN SMALL LETTER ALPHA
1AEE2DB972C8FD9AFB48C4C1B451C729,fː,LATIN SMALL LETTER F - MODIFIER LETTER TRIANGULAR COLON
285A8D9A3CA9805FE744FA8CD275ADE9,ɪ̈,LATIN LETTER SMALL CAPITAL I - COMBINING DIAERESIS
8E0A811394AB18A49D7448F524FB77E0,qː,LATIN SMALL LETTER Q - MODIFIER LETTER TRIANGULAR COLON
558EB9E0D21C4B2AF8EA78F96AADF1E6,ɽ̃,LATIN SMALL LETTER R WITH TAIL - COMBINING TILDE
55178E3BFB75E825B7E1DDB1ECAC84EA,zː,LATIN SMALL LETTER Z - MODIFIER LETTER TRIANGULAR COLON
BD5DD0B4F35DA44F05B251A09476EADF,tsʲ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J
D7A90868F42885077FD3F44A8440B3BB,iː,LATIN SMALL LETTER I - MODIFIER LETTER TRIANGULAR COLON
3A9677F59A8D4980D4DEADD51C55FF1C,uː,LATIN SMALL LETTER U - MODIFIER LETTER TRIANGULAR COLON
2653DF7B6901A0BABDDFBC146CF52EDE,cʰ,LATIN SMALL LETTER C - MODIFIER LETTER SMALL H
277F69CED8A90DE32B7E46141E793D80,ɹ̤,LATIN SMALL LETTER TURNED R - COMBINING DIAERESIS BELOW
27E498422242BAF54775C75A8C884CF7,y,LATIN SMALL LETTER Y
BE81A18FCCFFEDC9ACF3B18F14E766BD,ɖ,LATIN SMALL LETTER D WITH TAIL
15464A7A3C2D7A9B750F066632E00939,bʱ,LATIN SMALL LETTER B - MODIFIER LETTER SMALL H WITH HOOK
ABF384858047DB0210A89F0502E90C82,dʱ,LATIN SMALL LETTER D - MODIFIER LETTER SMALL H WITH HOOK
CB610CAB6FE2220917C929580F1730E5,dzʱ,LATIN SMALL LETTER D - LATIN SMALL LETTER Z - MODIFIER LETTER SMALL H WITH HOOK
2834DBE208519761437F67022B9C4607,ɡʱ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL H WITH HOOK
18DCAF1C4880F45D5B402E7D776A91D0,ʌ,LATIN SMALL LETTER TURNED V
CFA86CE56605194A2F338BA3E3974EA3,ɓ,LATIN SMALL LETTER B WITH HOOK
FCBA55E86872C51111DCF32346A02630,ɨə̯,LATIN SMALL LETTER I WITH STROKE - LATIN SMALL LETTER SCHWA - COMBINING INVERTED BREVE BELOW
